hypothesis_hash,theme,partition,wf_test_period_sharpe,holdout_bear_2022_passed,holdout_bear_2022_filter_state,holdout_bear_2022_total_trades,holdout_bear_2022_sharpe,holdout_bear_2022_in_sample_caveat,holdout_validation_2024_passed,holdout_validation_2024_filter_state,holdout_validation_2024_total_trades,holdout_validation_2024_sharpe,holdout_validation_2024_in_sample_caveat,holdout_eval_2020_v1_passed,holdout_eval_2020_v1_filter_state,holdout_eval_2020_v1_total_trades,holdout_eval_2020_v1_sharpe,holdout_eval_2020_v1_in_sample_caveat,holdout_eval_2021_v1_passed,holdout_eval_2021_v1_filter_state,holdout_eval_2021_v1_total_trades,holdout_eval_2021_v1_sharpe,holdout_eval_2021_v1_in_sample_caveat,pass_count_unfiltered,pass_count_filtered
6f29cca9d8a853d8,volatility_regime,audit_only,-1.122131,False,survivor_failed,379,-1.3660965678476213,False,False,survivor_failed,410,-1.2620957583629928,False,False,survivor_failed,444,0.4815641087224886,True,False,survivor_failed,390,-0.9301944358472108,True,0,0
6f60460042ff9b57,calendar_effect,audit_only,-1.414136,True,survivor_passed,46,0.41950147977107566,False,True,survivor_passed,45,2.122321226064152,False,True,survivor_passed,48,-0.22647088993386602,True,False,survivor_failed,48,-1.6481472625374385,True,3,3
6f6b14c1d654b040,volume_divergence,audit_only,-1.612523,False,survivor_failed,66,-1.4983682361166897,False,False,survivor_failed,76,0.6925545177127886,False,True,survivor_passed,79,2.6154694892625905,True,False,survivor_failed,70,-1.9107708204768459,True,1,1
6f6d50742370a832,volatility_regime,audit_only,0.004473,False,survivor_failed,217,-1.8254191919391132,False,False,survivor_failed,187,-1.1394886989204907,False,True,survivor_passed,164,0.8927359639592469,True,False,survivor_failed,148,0.2568865084682981,True,1,1
71ba7b3edb07990d,calendar_effect,audit_only,-0.670134,False,survivor_failed,36,0.3435170657476041,False,True,survivor_passed,24,-0.4815366925290094,False,True,survivor_passed,21,1.6102727305146742,True,False,survivor_failed,30,-0.6490548812188515,True,2,2
740e6b4d2fd7ffb5,volatility_regime,audit_only,-0.456248,False,survivor_failed,73,-0.9230811762539237,False,True,survivor_passed,57,0.5604536626675581,False,False,survivor_failed,65,1.6785128769046058,True,False,survivor_failed,49,-0.46325156622762353,True,1,1
745ad9811d162d9b,momentum,audit_only,-0.247441,False,survivor_failed,33,-2.1950669067817143,False,True,survivor_passed,48,0.9330822953116846,False,False,survivor_failed,54,0.5307701026272182,True,False,survivor_failed,57,-0.12938259148137038,True,1,1
81defa1785e0949a,volatility_regime,primary,0.589886,False,survivor_failed,59,-1.1633289392894952,False,True,survivor_passed,56,0.17527171672171613,False,True,survivor_passed,74,2.3739065935752564,True,False,survivor_failed,65,1.2318621237914957,True,2,2
856def78c4256908,volatility_regime,primary,0.920222,False,survivor_failed,344,-2.2761890442216886,False,True,survivor_passed,326,0.0897977417179616,False,False,survivor_failed,332,0.9664098404605784,True,False,survivor_failed,298,0.9085311777772502,True,1,1
889706976f88826b,volatility_regime,audit_only,0.052887,False,survivor_failed,150,-1.6055100786782828,False,False,survivor_failed,162,-0.3292784927179495,False,True,survivor_passed,153,2.262461901849837,True,False,survivor_failed,150,0.17649485875774482,True,1,1
8b03687290f428d9,mean_reversion,primary,0.790828,False,survivor_failed,97,-1.1655972370234975,False,True,survivor_passed,95,0.7236672394860859,False,False,survivor_failed,74,0.11760029166384271,True,False,survivor_failed,103,0.6616872359347747,True,1,1
8b98cbf9c559d60f,volatility_regime,audit_only,0.150994,False,survivor_failed,69,0.054306524111466296,False,False,survivor_failed,59,0.10533401055221463,False,False,survivor_failed,59,1.211080943883177,True,False,survivor_failed,55,0.19270475483365465,True,0,0
8be125eb7a594cc4,momentum,audit_only,0.053395,False,survivor_failed,78,-2.122066124862573,False,True,survivor_passed,104,0.2264642008043429,False,True,survivor_passed,106,-0.1054418845403123,True,True,survivor_passed,102,0.2554222827712807,True,3,3
9019f59911097562,momentum,audit_only,0.446626,False,survivor_failed,335,-2.4328291872270715,False,False,survivor_failed,332,-0.44502221164383354,False,True,survivor_passed,329,1.686211638299679,True,False,survivor_failed,331,0.25922483184236933,True,1,1
92fa4eabe697edef,volume_divergence,audit_only,-0.636613,False,survivor_failed,76,-0.5531508493315921,False,True,survivor_passed,49,0.5650295792074406,False,False,survivor_failed,52,-0.14688772287416044,True,False,survivor_failed,77,-0.5407490586186326,True,1,1
931bdacf2de372da,calendar_effect,audit_only,-0.580095,False,excluded,18,-0.5413212660090998,False,True,survivor_passed,26,0.9026210691725178,False,True,survivor_passed,24,1.1237880003727772,True,False,survivor_failed,29,-0.518350170942878,True,2,2
947585de083ca512,calendar_effect,audit_only,-0.918599,True,survivor_passed,29,-0.061740926967543054,False,True,survivor_passed,21,-0.2625874914603322,False,True,excluded,17,1.3232578123767367,True,False,survivor_failed,25,-0.8813705693748238,True,3,2
97e1863dc8e00b7b,calendar_effect,audit_only,0.385928,False,survivor_failed,68,-0.15249639043642335,False,True,survivor_passed,66,1.4886294857266615,False,False,survivor_failed,71,0.29232756797998355,True,False,survivor_failed,83,0.6981939012063573,True,1,1
99570ad037c65093,mean_reversion,audit_only,0.0,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,0,0.0,True,False,excluded,0,0.0,True,0,0
9bbc1030b1983983,momentum,audit_only,-1.026311,True,survivor_passed,21,0.07934793727246897,False,False,survivor_failed,26,-0.5077397659293319,False,False,excluded,19,-1.7275730847637574,True,False,survivor_failed,30,-1.0549780201132637,True,1,1
9eae2c6c769241a5,mean_reversion,audit_only,0.187482,False,survivor_failed,67,-1.5593137724587396,False,True,survivor_passed,65,0.4261727229067974,False,False,survivor_failed,47,0.2452029470646736,True,False,survivor_failed,68,0.03979793321859844,True,1,1
a5a21ba31a19b84e,volatility_regime,primary,0.73578,False,survivor_failed,118,-1.623484264603733,False,False,survivor_failed,115,1.3537984355088997,False,True,survivor_passed,109,3.537634792700488,True,False,survivor_failed,131,1.1228686178428195,True,1,1
a602eff333694830,momentum,audit_only,0.24422,False,survivor_failed,30,-2.0856874552777103,False,True,survivor_passed,26,1.4865933585649937,False,True,survivor_passed,41,0.9195063119241645,True,True,survivor_passed,45,0.28784352376005773,True,3,3
a72aed476613df45,momentum,audit_only,-1.193018,False,survivor_failed,173,-2.4342271503072337,False,False,survivor_failed,179,-0.6851707912113829,False,False,survivor_failed,190,-0.40805506847991396,True,False,survivor_failed,170,-1.143506132378725,True,0,0
aae9c18917d74bbe,calendar_effect,audit_only,-0.216559,False,survivor_failed,77,-0.7969007295424798,False,True,survivor_passed,84,0.45118656375354455,False,False,survivor_failed,122,1.598111882526514,True,False,survivor_failed,164,-0.39684403347583264,True,1,1
af845dfbc628c5d9,volatility_regime,audit_only,0.0,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,0,0.0,True,False,excluded,0,0.0,True,0,0
af92467693f70f80,volume_divergence,audit_only,0.110077,True,survivor_passed,57,0.9294993553757059,False,True,survivor_passed,77,1.0150894041246978,False,True,survivor_passed,87,1.3569267636835152,True,False,survivor_failed,95,0.16132729964813652,True,3,3
b62754097570cbc2,mean_reversion,audit_only,-0.433823,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,1,-1.2099044892838724,True,False,excluded,1,-0.8630471826584727,True,0,0
b910a3a7ec942d44,mean_reversion,primary,0.80679,False,excluded,3,0.0014703106235763133,False,False,excluded,0,0.0,False,False,excluded,4,0.2753966262375335,True,True,excluded,11,1.336028545437179,True,1,0
bc255c3cdd4dd475,momentum,audit_only,-0.084418,False,survivor_failed,200,-2.551068246432901,False,False,survivor_failed,197,-0.16918303422607336,False,False,survivor_failed,215,0.9117777504888394,True,False,survivor_failed,213,0.12428593759527816,True,0,0
bcf0be31e2474bc7,volume_divergence,audit_only,-0.68076,False,survivor_failed,119,-0.9868867069175961,False,False,survivor_failed,135,-1.2019519719023315,False,False,survivor_failed,165,0.34878765919135674,True,False,survivor_failed,225,-0.5789135803821708,True,0,0
be7e74402e11ac64,volume_divergence,audit_only,0.404308,False,survivor_failed,115,-1.406535535543005,False,False,survivor_failed,119,1.081990980725499,False,False,survivor_failed,151,0.9137370702817846,True,False,survivor_failed,186,0.1174898295339566,True,0,0
c1f4b369d5d3f33e,calendar_effect,audit_only,0.215533,True,survivor_passed,27,0.5193924996972965,False,False,survivor_failed,36,0.5332496698457382,False,True,survivor_passed,41,1.813085754063532,True,False,survivor_failed,31,-0.23662255975582866,True,2,2
c54a53f7be9475fa,mean_reversion,primary,0.938641,False,survivor_failed,273,-1.8111942735950242,False,False,survivor_failed,183,0.8745217756715251,False,False,survivor_failed,171,0.5249844475946984,True,False,survivor_failed,266,0.8549859278306712,True,0,0
c826de3493e0c5cd,volume_divergence,audit_only,-1.230844,False,survivor_failed,153,-1.1094651963780675,False,False,survivor_failed,167,-2.1307789014572367,False,False,survivor_failed,216,0.6134141068921807,True,False,survivor_failed,288,-1.4518851984490728,True,0,0
cdf0e4c8b1bd8632,momentum,audit_only,0.198122,False,survivor_failed,324,-2.3195003954066804,False,False,survivor_failed,310,-0.8052185493886926,False,True,survivor_passed,299,1.5979280238624567,True,False,survivor_failed,314,0.09129815150042814,True,1,1
ce2902898e0d2ce7,momentum,audit_only,-1.321094,True,survivor_passed,39,-0.4522280516204712,False,False,survivor_failed,56,-1.740933269775148,False,True,survivor_passed,56,1.3095967879922985,True,False,survivor_failed,53,-1.3001493970519806,True,2,2
cef6aac13f9f24e8,volatility_regime,audit_only,-0.456019,False,survivor_failed,284,-1.877689653611724,False,False,survivor_failed,260,-0.22074922643030395,False,True,survivor_passed,257,2.036446177076547,True,False,survivor_failed,221,-0.23739746518256893,True,1,1
d0d75ccd87b80e1e,calendar_effect,audit_only,-0.423648,False,survivor_failed,26,-1.196558309850076,False,True,excluded,18,0.5807301904842632,False,True,excluded,13,0.3908036811916728,True,False,excluded,17,-0.5257156107879857,True,2,0
d13c62685553a1d1,volatility_regime,audit_only,0.434761,False,survivor_failed,223,-2.326202386113069,False,False,survivor_failed,207,0.4588223410316425,False,False,survivor_failed,221,1.4281871536152564,True,False,survivor_failed,213,0.3876440710249894,True,0,0
d30450988ac8744a,calendar_effect,audit_only,-0.951809,False,survivor_failed,41,-0.5561838465595672,False,True,survivor_passed,33,0.484315065217002,False,True,survivor_passed,24,0.7447387760393163,True,False,survivor_failed,32,-0.8632889092735079,True,2,2
d42b2929c6219876,momentum,audit_only,-0.984806,True,survivor_passed,83,-0.3772339166149762,False,False,survivor_failed,74,0.9422488735859827,False,False,survivor_failed,88,1.3277830857095072,True,False,survivor_failed,98,-1.1732788534845888,True,1,1
dc6bd93bf1341d33,volatility_regime,audit_only,-0.683549,False,survivor_failed,209,-2.9003318713780444,False,False,survivor_failed,191,-1.3249800950625967,False,True,survivor_passed,170,-0.24694120456311167,True,False,survivor_failed,162,-1.0945501365860597,True,1,1
dee5c80bc3544465,volatility_regime,audit_only,-0.801946,False,survivor_failed,43,-0.28706845348609145,False,False,survivor_failed,40,-1.0894832939537835,False,False,survivor_failed,39,-1.2204845320121516,True,False,survivor_failed,45,-0.9807683723424635,True,0,0
e1010fab991bab46,volatility_regime,audit_only,0.0,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,0,0.0,True,False,excluded,0,0.0,True,0,0
e21c332bddb10d38,mean_reversion,audit_only,0.403244,True,survivor_passed,68,-0.36560022702787637,False,True,survivor_passed,90,0.5495034967573684,False,False,survivor_failed,102,0.5627990461114141,True,False,survivor_failed,102,0.31608982771482086,True,2,2
